Date;Start;End;Total (grid load) [MWh] Calculated resolutions
Mar 7, 2023;12:00 AM;1:00 AM;50219.75
Mar 7, 2023;1:00 AM;2:00 AM;48657.00
Mar 7, 2023;2:00 AM;3:00 AM;48689.00
Mar 7, 2023;3:00 AM;4:00 AM;49895.50
Mar 7, 2023;4:00 AM;5:00 AM;51134.75
Mar 7, 2023;5:00 AM;6:00 AM;54662.25
Mar 7, 2023;6:00 AM;7:00 AM;61562.75
Mar 7, 2023;7:00 AM;8:00 AM;66396.00
Mar 7, 2023;8:00 AM;9:00 AM;68569.50
Mar 7, 2023;9:00 AM;10:00 AM;70653.25
Mar 7, 2023;10:00 AM;11:00 AM;72214.50
Mar 7, 2023;11:00 AM;12:00 PM;72710.50
Mar 7, 2023;12:00 PM;1:00 PM;71735.50
Mar 7, 2023;1:00 PM;2:00 PM;70005.50
Mar 7, 2023;2:00 PM;3:00 PM;68428.00
Mar 7, 2023;3:00 PM;4:00 PM;66736.25
Mar 7, 2023;4:00 PM;5:00 PM;65774.25
Mar 7, 2023;5:00 PM;6:00 PM;65269.50
Mar 7, 2023;6:00 PM;7:00 PM;66352.75
Mar 7, 2023;7:00 PM;8:00 PM;66179.75
Mar 7, 2023;8:00 PM;9:00 PM;62462.25
Mar 7, 2023;9:00 PM;10:00 PM;59083.00
Mar 7, 2023;10:00 PM;11:00 PM;56607.00
Mar 7, 2023;11:00 PM;12:00 AM;53307.25
